household_id;car_availability;bike_availability;number_of_vehicles;number_of_bikes;income;census_household_id
824335;none;none;0;0;1258.0204496887397;824335
30397;all;none;3;0;3796.3187106474925;30397
45372;all;none;3;0;7697.56368748273;45372
49367;some;none;1;0;8028.510518166368;49367
49843;some;none;1;0;8015.639364393985;49843
82360;some;none;1;0;3984.7840244684803;82360
83357;some;none;1;0;8522.226527293144;83357
84276;some;none;2;0;3678.5170366881202;84276
90621;all;none;3;0;691.6837956075753;90621
90726;some;none;2;0;3237.8862921979207;90726
90882;some;none;2;0;7413.171587025273;90882
105437;all;none;2;0;3892.95466479371;105437
105475;all;none;2;0;266.1649539325709;105475
108498;all;none;2;0;3329.711291007452;108498
123185;all;none;2;0;3525.485976445373;123185
219987;all;none;3;0;3336.076790869949;219987
234789;some;none;1;0;10621.90801453275;234789
240630;some;none;2;0;3741.8946668096646;240630
250893;some;none;1;0;3806.564232198998;250893
270482;some;none;2;0;3530.438688731196;270482
315831;some;none;1;0;3810.592852573327;315831
347422;all;none;2;0;3049.0234168283123;347422
141600;none;some;0;1;1841.612684644842;141600
234603;none;some;0;1;4686.699002423143;234603
250216;none;some;0;1;6034.666646669438;250216
283474;none;some;0;1;273.8566172875716;283474
1665;all;all;1;4;4104.134115447621;1665
205783;all;all;2;4;5407.925732533681;205783
1668;all;all;1;2;4765.727470206525;1668
588178;some;none;2;0;5780.865406384324;588178
588691;all;none;3;0;4475.454229721823;588691
629617;some;none;1;0;5923.512101302515;629617
727362;all;none;2;0;4409.420496933435;727362
1331164;some;none;1;0;5347.835681268202;1331164
1332159;some;none;2;0;4332.773946996607;1332159
586326;some;some;2;2;5259.557634697139;586326
843971;some;some;2;2;5884.015584433046;843971
1382259;all;some;2;2;4188.831740748606;1382259
1865;some;some;1;2;4603.984408100512;1865
39166;some;some;1;2;4457.707224000079;39166
52856;some;some;1;2;4650.957203647323;52856
111771;all;all;2;2;5221.944043360215;111771
204387;all;some;1;2;4698.647721916974;204387
272984;all;some;2;2;5315.376023541423;272984
317078;all;some;2;2;4282.657168863287;317078
369167;all;some;3;2;5762.834784104383;369167
53267;none;none;0;0;3668.820186367348;53267
53757;none;none;0;0;4713.597600569312;53757
88203;none;none;0;0;3666.761410123173;88203
98847;none;none;0;0;2547.675678602873;98847
110576;none;none;0;0;5721.445866121448;110576
122425;none;none;0;0;7531.0614945870675;122425
174196;none;none;0;0;3613.0932958014378;174196
188590;none;none;0;0;2490.4198374046787;188590
202343;none;none;0;0;2849.8550576460448;202343
208192;none;none;0;0;3985.0254506063284;208192
228950;none;none;0;0;6418.167987214274;228950
238153;none;none;0;0;3585.0763261060374;238153
238297;none;none;0;0;2798.3829000264823;238297
323241;none;none;0;0;6392.657631445754;323241
60150;some;none;1;0;4626.186787053742;60150
98803;some;none;1;0;5414.123852174607;98803
239318;all;none;2;0;4150.84757609866;239318
246385;some;none;1;0;4191.574154977379;246385
280123;some;none;1;0;4087.0273229974655;280123
281467;all;none;1;0;4383.35338396229;281467
306353;some;none;1;0;4858.405923265415;306353
354716;some;none;1;0;4762.0063623097785;354716
14508;some;some;1;4;8953.450878246334;14508
21257;all;all;2;4;4898.119920066483;21257
29271;some;all;3;4;5098.381277546542;29271
53936;all;all;3;4;4027.0854508409093;53936
54908;all;all;1;4;4119.614432747856;54908
54936;some;all;2;4;5200.510854393305;54936
60116;all;all;3;4;5484.739645034293;60116
79085;some;some;2;4;4624.998614954817;79085
88422;all;all;1;4;1817.2289453539881;88422
97472;some;all;1;4;5225.864821466197;97472
99954;all;all;2;4;4198.84987652892;99954
100401;some;some;1;4;5529.262042218492;100401
122236;all;all;1;4;5944.975183217163;122236
125027;all;all;3;4;5839.075503506244;125027
148240;all;all;2;4;5910.795963694425;148240
171003;all;all;2;4;5860.610084289617;171003
184099;all;all;2;4;5997.272565801047;184099
191729;all;all;2;4;5006.72056253236;191729
203556;some;all;1;4;4394.257751671702;203556
204666;all;all;1;4;5733.2687557714735;204666
217089;all;all;2;4;5759.886609741728;217089
230081;all;all;2;4;5459.214160727326;230081
236978;all;all;2;4;225.6010185094878;236978
239470;all;all;1;4;5277.979187653333;239470
243638;some;some;1;4;5789.837119016322;243638
244098;some;some;1;4;5099.96053144034;244098
246091;some;all;1;4;5079.705698989394;246091
254412;all;some;2;4;12079.507273680703;254412
273750;all;all;2;4;4309.554132823363;273750
279651;some;all;1;4;5234.218914918572;279651
287940;some;all;1;4;4208.921132613297;287940
306069;some;all;2;4;5476.880677541111;306069
307624;all;all;1;4;5951.466568637674;307624
307940;some;all;1;4;4741.265504549918;307940
308596;all;all;1;4;6205.237084948103;308596
311059;all;all;3;4;4558.84047131716;311059
311488;all;all;2;4;5182.224365335305;311488
317324;all;all;2;4;4733.7902026730635;317324
321157;all;all;2;4;5339.961133540233;321157
1871;some;all;1;2;3611.5765260373655;1871
9094;all;all;3;2;1804.60323864281;9094
28841;some;some;1;2;3482.5142462891326;28841
87933;some;some;1;2;3414.634373178984;87933
122498;some;some;1;2;15939.047371821896;122498
150078;all;all;3;2;3680.047755279296;150078
202447;all;some;2;2;3741.6403625832527;202447
216220;some;some;1;2;6447.6316643347;216220
237173;some;some;1;2;3624.5453518480304;237173
239348;all;some;1;2;3101.0302938194263;239348
228618;all;all;2;3;3124.543204563483;228618
239048;some;all;1;3;3591.0320359508937;239048
242459;some;some;1;3;3669.876069665926;242459
243975;some;all;2;3;3508.99998222195;243975
307997;all;all;2;3;3030.963506222957;307997
2154;all;some;1;1;7651.385839672332;2154
19990;all;some;2;1;7560.866780725386;19990
137470;all;some;2;1;8836.250055991253;137470
195741;all;some;2;1;2684.726904289513;195741
323347;all;some;1;1;7790.754341635204;323347
355719;all;some;2;1;6455.3726656103145;355719
53378;none;none;0;0;4014.7759420397206;53378
8390;none;some;0;1;7489.232301247288;8390
17199;none;some;0;1;3145.8144097759637;17199
18983;none;some;0;1;2455.852986998934;18983
19727;none;some;0;1;2980.910485415332;19727
43999;none;some;0;1;3832.7425659169635;43999
47084;none;some;0;1;9911.583563225951;47084
51049;none;some;0;1;1134.610922590408;51049
51404;none;some;0;1;3379.651291903165;51404
53499;none;some;0;1;2855.572079944093;53499
60323;none;some;0;1;16266.123740279269;60323
89347;none;some;0;1;2955.225861506956;89347
97006;none;some;0;1;1562.406575593449;97006
100371;none;some;0;1;9749.275714693378;100371
112024;none;some;0;1;6718.54207562699;112024
120735;none;some;0;1;3387.218330225599;120735
122318;none;some;0;1;9685.58449160785;122318
141354;none;all;0;1;1949.0417633685815;141354
150913;none;some;0;1;2278.0337736881065;150913
164513;none;some;0;1;4398.989795831842;164513
167698;none;all;0;1;3934.5144656498246;167698
197413;none;some;0;1;3875.619135294546;197413
237998;none;some;0;1;2616.8528157468168;237998
239076;none;some;0;1;2025.8160663946069;239076
242279;none;all;0;1;2285.0299235088746;242279
246207;none;some;0;1;5658.076232855473;246207
280414;none;all;0;1;4141.23738347699;280414
297561;none;some;0;1;3940.153758955014;297561
307383;none;some;0;1;2222.130176569134;307383
309397;none;some;0;1;3174.6253180763156;309397
311069;none;some;0;1;5735.203902531438;311069
323767;none;some;0;1;10469.085060685538;323767
324728;none;some;0;1;3869.2344143922473;324728
359953;none;some;0;1;5842.986091848691;359953
364473;none;all;0;1;100.11116805305446;364473
371598;none;some;0;1;6117.068690564041;371598
378184;none;some;0;1;3048.0960509503248;378184
216418;all;none;2;0;1448.406518135762;216418
228798;all;none;2;0;1293.9349274619942;228798
2234;all;none;2;0;2395.282149482664;2234
155483;some;none;1;0;2358.418722043133;155483
202884;some;none;1;0;6135.234835553655;202884
237032;some;none;2;0;2434.8338976775553;237032
354511;some;none;1;0;8110.474206275005;354511
2328;none;none;0;0;2978.8990030712125;2328
11438;none;none;0;0;5875.762020268724;11438
20141;none;none;0;0;298.14417561206665;20141
26342;none;none;0;0;5524.4164793898;26342
41384;none;none;0;0;7908.097598224199;41384
69173;none;none;0;0;799.9071763667012;69173
73990;none;none;0;0;4649.512524808237;73990
74245;none;none;0;0;6357.239165104707;74245
98326;none;none;0;0;3183.5282075441705;98326
113575;none;none;0;0;3753.6340521182283;113575
210065;none;none;0;0;1361.6417071130154;210065
230394;none;none;0;0;5211.91860652987;230394
249464;none;none;0;0;4223.151346881376;249464
257139;none;none;0;0;1437.6283740681292;257139
261679;none;none;0;0;1681.8162874369596;261679
267777;none;none;0;0;2234.0707771870716;267777
292683;none;none;0;0;2520.7993966955346;292683
57927;all;some;1;2;10688.835210400275;57927
77988;some;some;1;2;2679.755398293539;77988
104790;all;some;2;2;6981.301155669968;104790
109609;some;some;1;2;6693.981508476605;109609
172762;all;all;3;2;2694.7606561625125;172762
312856;all;all;2;2;2551.0523843198334;312856
330057;all;some;1;2;8291.124079909881;330057
350793;all;all;2;2;2599.6071986794122;350793
372495;some;some;2;2;9510.950782455728;372495
4009;none;none;0;0;341.14344579314763;4009
641022;none;none;0;0;7101.283089990993;641022
960641;none;none;0;0;3819.5883906930276;960641
984928;none;none;0;0;139.0285520450094;984928
1078904;none;none;0;0;3511.5686439756964;1078904
1114016;none;none;0;0;4936.703533921034;1114016
1128049;none;none;0;0;6837.9985820435895;1128049
2431;none;some;0;1;2819.0315327419157;2431
12185;none;some;0;1;3087.515845242449;12185
34275;none;some;0;1;2894.3307594042635;34275
57390;none;some;0;1;4744.115861500541;57390
58241;none;some;0;1;6156.700986444372;58241
85619;none;some;0;1;3406.2071000403585;85619
90510;none;some;0;1;5265.425846152271;90510
92055;none;some;0;1;1193.4990228386341;92055
250888;none;all;0;1;1975.4382174273449;250888
263328;none;some;0;1;4978.449750381642;263328
266958;none;some;0;1;427.3216146950669;266958
329656;none;some;0;1;3256.8674667405085;329656
341481;none;some;0;1;5734.243737921402;341481
334825;some;all;2;4;7851.956177898815;334825
972913;all;all;2;2;3296.1250924289543;972913
2543;none;none;0;0;3853.1483448053805;2543
16817;none;none;0;0;5595.754558008174;16817
36741;none;none;0;0;3401.9255761474733;36741
49155;none;none;0;0;8136.376533500592;49155
231021;none;none;0;0;3337.4510334255183;231021
259306;none;none;0;0;907.2907240689476;259306
303677;none;none;0;0;2486.3528410949634;303677
538826;all;all;2;4;3904.9678818938273;538826
945240;some;all;1;4;3816.6785000149202;945240
1033682;some;all;2;4;3603.1368590520865;1033682
1058414;all;all;2;4;3091.9169119813587;1058414
1084622;some;all;1;4;3701.7882071636764;1084622
1136305;some;all;2;4;3429.7511005368447;1136305
1198822;all;all;2;4;3800.9953402404485;1198822
1227903;some;all;3;4;3727.1992725224936;1227903
45803;all;none;3;0;3176.4977250092134;45803
48466;some;none;3;0;7507.184261914862;48466
76743;all;none;3;0;3086.233178087524;76743
78065;some;none;2;0;8645.922794874159;78065
113741;some;none;1;0;3835.6827426015852;113741
168093;all;none;2;0;3519.2030224244854;168093
240904;all;none;2;0;3064.125780825793;240904
346277;all;none;1;0;3215.499134215041;346277
367803;all;none;1;0;3850.8650900818016;367803
26302;all;none;1;0;3451.631252261358;26302
49281;all;none;3;0;11094.789042748966;49281
114138;some;none;1;0;3591.28026228809;114138
230382;some;none;2;0;8679.984671752514;230382
256894;some;none;1;0;3279.3864276282675;256894
259635;some;none;2;0;3670.667331763236;259635
2566;some;all;1;5;3921.517075606029;2566
68232;all;all;3;5;3458.1826242138504;68232
85137;some;all;1;5;3552.9373460328497;85137
335986;some;all;2;5;3612.5426392748636;335986
954570;all;some;3;1;3084.565444364549;954570
1075638;some;some;1;1;3687.4680736170267;1075638
1129050;some;some;1;1;349.57182290248215;1129050
2617;none;some;0;1;4202.98894988643;2617
11195;none;some;0;1;3061.3419838643163;11195
16049;none;some;0;1;4104.060473684479;16049
21470;none;some;0;1;3983.2013945916433;21470
42407;none;some;0;1;6077.7303611304815;42407
49148;none;some;0;1;4805.91794280428;49148
65720;none;some;0;1;5112.446056222236;65720
67831;none;some;0;1;3668.68754879029;67831
68704;none;some;0;1;5253.668506386185;68704
68750;none;some;0;1;3752.9083533985604;68750
69603;none;all;0;1;2052.5096651935437;69603
74957;none;some;0;1;6595.561082597197;74957
77253;none;some;0;1;5910.707205008262;77253
82821;none;some;0;1;2238.3082886988714;82821
82864;none;some;0;1;5142.458325419366;82864
83108;none;some;0;1;3669.627397652122;83108
83690;none;some;0;1;1723.078822136636;83690
107532;none;some;0;1;7888.538198799139;107532
212534;none;some;0;1;4730.161274099979;212534
220104;none;some;0;1;3122.91185571195;220104
224117;none;some;0;1;5166.6809919290845;224117
234579;none;some;0;1;4209.82549635899;234579
247838;none;some;0;1;6698.635389746593;247838
249060;none;some;0;1;8810.138992645068;249060
267837;none;some;0;1;957.9160820162168;267837
291235;none;some;0;1;2435.130997946135;291235
303934;none;some;0;1;8732.123800625268;303934
333235;none;all;0;1;2141.2556860530503;333235
380950;none;all;0;1;2173.9979464612975;380950
544910;some;none;2;0;4297.860446203305;544910
1117724;some;none;1;0;4368.962626797623;1117724
1138530;all;none;2;0;4733.019392311864;1138530
1228923;some;none;1;0;5272.312478670229;1228923
726570;some;none;1;0;5956.446111829235;726570
912204;some;none;1;0;5199.366468192657;912204
930219;all;none;3;0;4322.167520497333;930219
935504;all;none;3;0;5012.002924721373;935504
935763;some;none;1;0;4668.594973871179;935763
937538;some;none;1;0;4472.708645726801;937538
946267;some;none;1;0;5255.874144952027;946267
956028;some;none;2;0;5761.4653639947355;956028
962926;all;none;2;0;5318.1828556491455;962926
963709;some;none;2;0;4369.298257082833;963709
971754;some;none;1;0;4729.841639563728;971754
1033771;some;none;3;0;4507.293908215674;1033771
1045199;some;none;1;0;307.530687011727;1045199
1065763;some;none;1;0;4046.4385102701876;1065763
1079535;some;none;1;0;4209.130347111808;1079535
1098246;some;none;1;0;4479.082983652668;1098246
1107961;all;none;3;0;4802.0753868873335;1107961
1125009;some;none;1;0;5525.471603530914;1125009
1198574;some;none;1;0;13129.443494615633;1198574
1228519;some;none;1;0;4617.420617512666;1228519
1236661;all;none;3;0;4863.161069935267;1236661
1250113;some;none;1;0;5045.636065764782;1250113
2795;some;none;1;0;3182.1034493025923;2795
34212;some;none;1;0;8326.123375882104;34212
221646;some;none;1;0;7274.64623164855;221646
1128659;some;some;2;2;3791.9467198700104;1128659
1310880;all;all;3;2;3537.2871989832247;1310880
975588;some;none;1;0;161.87078064007488;975588
1079128;all;some;2;1;3570.677516842181;1079128
2853;some;some;2;3;4435.7465660779835;2853
982372;some;all;2;3;4222.3280868778975;982372
1075420;some;some;1;3;4536.803726555162;1075420
1109069;some;all;2;3;4026.3972622352476;1109069
1124079;all;all;3;3;5201.477319878959;1124079
1249836;all;all;2;3;4712.325584120023;1249836
1284056;some;some;1;3;5411.85100902204;1284056
574533;some;some;1;1;5199.499818925088;574533
978855;some;some;2;1;11749.725782200632;978855
1079907;some;some;1;1;5866.461866372978;1079907
1107176;all;some;3;1;4147.455935472879;1107176
1109070;all;some;3;1;4951.107342765727;1109070
1130033;some;some;2;1;4576.941863259868;1130033
1141657;some;some;1;1;4099.427693905194;1141657
1204822;all;some;3;1;4718.418103477876;1204822
1268522;some;some;1;1;5329.2019818041645;1268522
12093;all;all;1;3;4491.297206959827;12093
16524;all;some;3;3;4106.111890277449;16524
20484;all;all;2;3;4902.712354418642;20484
40911;some;some;1;3;6551.624455397855;40911
57926;all;some;3;3;4693.536287635521;57926
68646;all;all;2;3;4059.6937643497918;68646
69468;all;all;2;3;4932.6598361819015;69468
69676;all;all;2;3;4621.332082006527;69676
73046;all;all;2;3;5728.643377661854;73046
78448;all;all;2;3;4831.037123155985;78448
84727;all;some;1;3;5839.866741695998;84727
90927;all;all;2;3;4991.652034673487;90927
95810;all;all;2;3;5933.862540750735;95810
105075;all;all;2;3;4132.44082992861;105075
107632;all;all;3;3;4827.957384653656;107632
107762;all;some;1;3;5561.194728626125;107762
107990;all;all;1;3;5397.174801052291;107990
123419;all;all;3;3;4441.016469402127;123419
172674;some;some;2;3;4869.652509805782;172674
211711;all;all;2;3;4988.5981795416365;211711
218570;some;some;1;3;4102.1131498845;218570
230883;all;some;1;3;5491.774307672357;230883
234169;all;all;1;3;4455.497777830168;234169
234802;all;all;1;3;4004.6544226910332;234802
248490;some;some;1;3;4219.201186572116;248490
248844;all;all;1;3;4741.033980191945;248844
257323;all;all;3;3;4876.378758595909;257323
257982;all;all;2;3;5941.981622646745;257982
258277;some;all;1;3;4971.412254398736;258277
259004;some;some;1;3;5147.472431647107;259004
259131;all;some;3;3;5296.898974973996;259131
260461;all;all;1;3;4395.485200500815;260461
261405;all;all;2;3;5851.369485616104;261405
261940;all;some;2;3;5534.522930592804;261940
262001;some;all;1;3;5974.070817497238;262001
262491;all;all;3;3;5193.008117251579;262491
263393;all;all;1;3;5532.398227848493;263393
265479;all;all;2;3;4393.016316471761;265479
265692;all;all;2;3;4071.4237111779757;265692
266615;some;some;2;3;5026.983168602152;266615
275315;some;some;1;3;12920.234870169299;275315
276027;all;some;3;3;4838.782092290959;276027
291732;some;some;1;3;6306.545181632029;291732
301075;some;some;1;3;4280.436651494648;301075
329866;all;all;2;3;4112.774327934491;329866
330237;all;all;2;3;5001.72120376846;330237
361551;some;some;1;3;4999.135845426052;361551
362200;some;all;1;3;5961.48127785813;362200
369782;all;all;1;3;4889.464940296704;369782
373769;all;all;1;3;4447.528601639752;373769
377423;all;all;3;3;5460.555313222158;377423
377796;some;all;1;3;4550.480267126376;377796
381218;all;some;3;3;16.81985882878601;381218
568678;some;all;1;3;4357.311562433481;568678
936522;some;all;1;3;4212.588207062003;936522
962512;some;all;2;3;5888.7909654331625;962512
1047270;some;all;1;3;4007.2902089024;1047270
1111364;some;some;2;3;4142.273285328797;1111364
1111638;some;some;1;3;4575.8338657315035;1111638
1138114;some;some;2;3;5491.832282118408;1138114
1195157;some;all;1;3;5258.159266763686;1195157
1198878;all;all;2;3;4246.03712117791;1198878
1208519;all;all;2;3;5186.487926795441;1208519
1247079;all;all;1;3;4574.160735981378;1247079
1247152;some;all;1;3;4091.4054770239213;1247152
2898;some;none;1;0;1631.9782006786618;2898
642521;some;none;2;0;1699.0673620808616;642521
913061;all;none;1;0;1564.2415959380896;913061
1099480;some;none;1;0;1543.7906171145128;1099480
1255051;all;none;2;0;1653.7071492120922;1255051
1293838;all;all;1;1;1517.6190840317886;1293838
96605;some;some;1;1;8148.150262125984;96605
315978;all;all;2;1;1591.110947752966;315978
1220452;all;none;3;0;1562.072820339068;1220452
2922;none;all;0;3;5432.006974588833;2922
30392;none;all;0;3;3179.9518738663032;30392
27635;none;some;0;1;9005.075017190133;27635
110107;none;some;0;1;2083.340907712172;110107
139679;none;some;0;1;3572.307105813782;139679
213628;none;some;0;1;3037.0560202636534;213628
247878;none;some;0;1;5685.008828656032;247878
66764;some;all;1;7;5388.41317792414;66764
74103;some;all;1;7;5668.682750129652;74103
82804;all;all;2;7;5736.317241354705;82804
90948;all;all;3;7;4067.7037301733817;90948
105157;some;all;1;7;5541.531667890065;105157
212642;all;all;1;7;5101.857769720477;212642
232426;some;all;2;7;4322.783714754631;232426
234051;some;all;2;7;13472.939996095552;234051
