person_id;household_id;age;employed;sex;socioprofessional_class;has_driving_license;has_pt_subscription;census_person_id;hts_id
595683;316555;Y25-29;False;male;I;True;False;595683;37593
585696;316555;Y25-29;False;male;H;False;True;585696;43041
635729;338167;Y25-29;False;male;C;True;False;635729;37593
782653;338167;Y25-29;True;male;N;True;False;782653;6959
637235;338167;Y25-29;True;male;M;False;True;637235;46806
761636;371909;Y25-29;True;male;G;True;False;761636;37593
762205;371909;Y25-29;True;male;N;True;False;762205;19668
18506;14599;Y15-19;False;male;NAP;True;True;18506;48459
18951;14599;Y15-19;False;male;NAP;False;False;18951;4096
2568405;14599;Y45-49;False;female;R;True;False;2568405;30412
34690;25736;Y15-19;False;male;NAP;True;True;34690;48459
2566131;25736;Y45-49;False;female;A;True;False;2566131;27301
2632635;25736;Y45-49;True;female;C;True;False;2632635;27301
60604;38546;Y15-19;False;male;NAP;True;True;60604;48459
61608;38546;Y15-19;False;male;F;False;True;61608;37371
62090;38546;Y15-19;True;male;O;False;True;62090;37365
137032;88165;Y20-24;True;male;N;True;True;137032;48459
190832;88165;Y20-24;False;male;C;False;True;190832;48852
242851;88165;Y20-24;True;male;I;True;True;242851;24599
209767;88165;Y20-24;True;male;S;False;True;209767;5863
243903;97033;Y20-24;True;male;Q;True;True;243903;48459
208228;97033;Y20-24;False;male;L;True;False;208228;28891
352049;97033;Y20-24;False;male;NAP;True;False;352049;19668
150551;97033;Y20-24;False;male;NAP;True;True;150551;6509
277321;97033;Y20-24;False;male;NAP;True;False;277321;28160
332084;99694;Y20-24;False;male;I;True;True;332084;48459
154711;99694;Y20-24;True;male;J;True;True;154711;37081
155967;100566;Y20-24;False;male;NAP;True;True;155967;48459
294422;100566;Y20-24;True;male;R;False;True;294422;37365
1331508;100566;Y35-39;False;male;NAP;True;False;1331508;42469
1287826;100566;Y35-39;True;male;E;True;False;1287826;42508
156418;100894;Y20-24;False;male;NAP;True;True;156418;48459
1290997;100894;Y35-39;True;male;M;True;True;1290997;27075
1285104;100894;Y35-39;False;male;Q;True;False;1285104;39977
1383950;100894;Y35-39;False;male;Q;False;True;1383950;24613
156960;101276;Y20-24;True;male;G;True;True;156960;48459
1326431;101276;Y35-39;True;male;F;True;False;1326431;44828
1285896;101276;Y35-39;True;male;S;True;False;1285896;27174
1382806;101276;Y35-39;True;male;N;False;True;1382806;18087
276930;142946;Y20-24;False;male;O;True;True;276930;48459
238124;142946;Y20-24;True;male;J;True;False;238124;37398
253666;148511;Y20-24;False;male;O;True;True;253666;48459
348043;148511;Y20-24;True;male;O;True;True;348043;15441
290351;156804;Y20-24;False;male;NAP;True;True;290351;48459
290427;156804;Y20-24;False;male;NAP;False;True;290427;38558
324881;156804;Y20-24;False;male;C;True;True;324881;4477
273058;156804;Y20-24;True;male;Q;False;False;273058;4725
347998;184032;Y20-24;False;male;N;True;True;347998;48459
347734;184032;Y20-24;True;male;M;True;False;347734;38871
387967;196315;Y25-29;False;male;NAP;True;True;387967;48459
2584285;196315;Y45-49;False;male;P;True;False;2584285;22161
749445;196841;Y25-29;True;male;N;True;True;749445;48459
388582;196841;Y25-29;False;male;P;False;True;388582;43041
696037;196841;Y25-29;False;male;I;True;False;696037;6959
749768;196841;Y25-29;True;male;O;True;False;749768;19668
469755;205638;Y25-29;True;male;I;True;True;469755;48459
443042;205638;Y25-29;True;male;H;True;True;443042;37081
598619;205638;Y25-29;True;male;D;True;True;598619;37081
398879;205638;Y25-29;True;male;M;False;True;398879;37371
469519;205638;Y25-29;False;male;H;False;True;469519;29357
448054;206642;Y25-29;False;male;R;True;True;448054;48459
570451;206642;Y25-29;False;male;G;False;True;570451;37365
469357;206642;Y25-29;True;male;H;True;False;469357;19668
400247;206642;Y25-29;False;male;NAP;True;False;400247;32679
778398;217912;Y25-29;False;male;C;True;True;778398;48459
788804;217912;Y25-29;True;male;F;False;True;788804;6105
785165;217912;Y25-29;False;male;I;False;False;785165;16098
414023;217912;Y25-29;False;male;P;True;False;414023;19668
642657;229147;Y25-29;True;male;I;True;True;642657;48459
565190;229147;Y25-29;False;male;C;True;True;565190;37081
429284;229147;Y25-29;False;male;G;True;False;429284;25340
444091;238310;Y25-29;True;male;J;True;True;444091;48459
445358;238902;Y25-29;False;male;N;True;True;445358;48459
504675;238902;Y25-29;False;male;O;False;True;504675;17361
527530;238902;Y25-29;False;male;NAP;True;False;527530;19668
455631;245126;Y25-29;False;male;P;True;True;455631;48459
747401;245126;Y25-29;True;male;C;True;False;747401;28231
516800;279100;Y25-29;True;male;C;True;True;516800;48459
2339273;279100;Y45-49;False;male;M;True;False;2339273;45325
690461;297478;Y25-29;True;male;I;True;True;690461;48459
601621;297478;Y25-29;False;male;O;False;True;601621;48852
548221;297478;Y25-29;False;male;N;False;True;548221;44003
564008;308039;Y25-29;True;male;O;True;True;564008;48459
573878;308039;Y25-29;False;male;C;True;False;573878;6959
622814;308039;Y25-29;False;male;NAP;True;True;622814;4477
587927;317273;Y25-29;False;male;O;True;True;587927;48459
734236;317273;Y25-29;False;male;E;False;False;734236;16098
735059;317273;Y25-29;False;male;L;True;False;735059;38871
637973;339042;Y25-29;True;male;P;True;True;637973;48459
3692514;339042;Y75-79;True;female;N;True;False;3692514;47891
2210;1303;Y10-14;False;female;NAP;False;False;2210;36601
785016;1303;Y25-29;False;male;H;True;True;785016;4452
227724;111468;Y20-24;False;male;NAP;True;True;227724;4452
177668;111468;Y20-24;False;male;NAP;True;False;177668;47763
234755;111468;Y20-24;False;male;I;False;True;234755;20471
176599;111468;Y20-24;False;male;I;True;False;176599;22465
291333;164455;Y20-24;True;male;A;True;True;291333;4452
696486;290957;Y25-29;True;male;K;True;True;696486;4452
538103;290957;Y25-29;False;male;NAP;True;True;538103;24599
2207686;290957;Y45-49;False;male;NAP;True;False;2207686;37980
675700;306202;Y25-29;False;male;I;True;True;675700;4452
562005;306202;Y25-29;True;male;G;False;True;562005;7280
586181;306202;Y25-29;True;male;N;True;True;586181;31818
713850;306202;Y25-29;False;male;NAP;True;False;713850;43137
561652;306202;Y25-29;False;male;C;True;False;561652;16926
675666;349663;Y25-29;True;male;H;True;True;675666;4452
2220;1313;Y10-14;False;female;NAP;False;True;2220;39134
762197;1313;Y25-29;True;male;N;False;True;762197;48471
785939;1313;Y25-29;False;male;NAP;True;False;785939;25917
793120;1313;Y25-29;True;male;I;False;True;793120;6834
66368;40214;Y15-19;True;male;H;False;True;66368;48471
3570709;40214;Y65-69;True;male;F;True;False;3570709;11099
138108;88926;Y20-24;True;male;Q;False;True;138108;48471
242021;88926;Y20-24;True;male;F;True;False;242021;44238
347661;99906;Y20-24;False;male;I;False;True;347661;48471
154992;99906;Y20-24;True;male;N;False;True;154992;37144
252632;99906;Y20-24;True;male;C;False;False;252632;47699
351323;99906;Y20-24;False;male;NAP;True;True;351323;29993
387251;195683;Y25-29;False;male;N;False;True;387251;48471
719598;195683;Y25-29;False;male;NAP;True;False;719598;34618
2290315;195683;Y45-49;False;male;C;True;False;2290315;25531
470895;202696;Y25-29;True;male;N;False;True;470895;48471
395487;202696;Y25-29;False;male;D;True;False;395487;34021
395537;202696;Y25-29;True;male;D;False;True;395537;44991
754565;242765;Y25-29;False;male;NAP;False;True;754565;48471
452408;242765;Y25-29;False;male;H;True;True;452408;42550
465447;251570;Y25-29;False;male;O;False;True;465447;48471
464743;251570;Y25-29;False;male;I;True;True;464743;22376
471939;251570;Y25-29;False;male;P;True;False;471939;16684
527532;251570;Y25-29;False;male;NAP;True;False;527532;29439
782581;297046;Y25-29;True;male;N;False;True;782581;48471
637970;297046;Y25-29;True;male;P;True;False;637970;37355
547691;297046;Y25-29;False;male;K;True;False;547691;20110
759098;324249;Y25-29;False;male;I;False;True;759098;48471
780143;324249;Y25-29;False;male;NAP;True;False;780143;27817
600936;324249;Y25-29;False;male;M;True;False;600936;34021
785097;372148;Y25-29;True;male;H;False;True;785097;48471
762336;372148;Y25-29;False;male;N;False;False;762336;39004
788839;372148;Y25-29;True;male;F;False;True;788839;34319
784380;372148;Y25-29;False;male;E;True;False;784380;26940
135891;87243;Y20-24;False;male;G;True;False;135891;25917
150906;97297;Y20-24;False;male;NAP;True;False;150906;25917
380963;111211;Y20-24;False;male;NAP;True;False;380963;25917
227365;111211;Y20-24;False;male;NAP;False;True;227365;6101
176244;111211;Y20-24;True;male;G;False;False;176244;37000
177852;111211;Y20-24;False;male;NAP;True;False;177852;40085
339381;122097;Y20-24;False;male;C;True;False;339381;25917
193465;122097;Y20-24;True;male;M;True;False;193465;34021
311086;122097;Y20-24;False;male;H;True;False;311086;4019
367174;122097;Y20-24;True;male;N;True;False;367174;37551
293858;165796;Y20-24;False;male;N;True;False;293858;25917
401150;203288;Y25-29;False;male;P;True;False;401150;25917
506103;203288;Y25-29;True;male;S;True;False;506103;4019
396119;203288;Y25-29;False;male;G;False;True;396119;17361
443998;203288;Y25-29;True;male;J;False;False;443998;28253
442154;237301;Y25-29;True;male;F;True;False;442154;25917
506021;237301;Y25-29;True;male;S;True;False;506021;34021
472431;237301;Y25-29;False;male;R;True;True;472431;4941
443926;238237;Y25-29;True;male;J;True;False;443926;25917
527321;238237;Y25-29;False;male;NAP;True;False;527321;42299
468473;240211;Y25-29;True;male;F;True;False;468473;25917
448458;240211;Y25-29;False;male;S;False;False;448458;28586
566780;309353;Y25-29;False;male;NAP;True;False;566780;25917
12665;10218;Y15-19;False;male;NAP;False;True;12665;6834
62251;10218;Y15-19;True;male;S;True;False;62251;25859
95108;53471;Y20-24;True;male;N;False;True;95108;6834
157363;53471;Y20-24;False;male;J;True;False;157363;34021
157325;53471;Y20-24;True;male;I;False;True;157325;21168
1409506;53471;Y35-39;False;male;C;True;True;1409506;6972
441688;237043;Y25-29;True;male;C;False;True;441688;6834
503700;237043;Y25-29;True;male;M;False;True;503700;6105
503020;237043;Y25-29;False;male;K;False;True;503020;22934
457343;246244;Y25-29;True;male;H;False;True;457343;6834
596413;246244;Y25-29;True;male;J;True;False;596413;19611
754300;246244;Y25-29;True;male;G;True;True;754300;48834
2321;1413;Y10-14;False;female;NAP;False;False;2321;22303
279811;1502;Y20-24;True;female;I;True;False;279811;42517
196286;1502;Y20-24;False;female;N;False;False;196286;4294
2411;1502;Y10-14;False;female;NAP;False;False;2411;40147
111815;1502;Y20-24;False;female;P;True;False;111815;48534
111905;1502;Y20-24;True;female;Q;False;False;111905;37169
37597;27439;Y15-19;False;female;NAP;True;False;37597;42517
56675;27439;Y15-19;True;female;O;False;False;56675;20035
75412;27439;Y15-19;False;female;G;True;False;75412;43879
64060;32206;Y15-19;True;female;N;True;False;64060;42517
46955;32206;Y15-19;False;female;NAP;True;True;46955;40213
78445;32206;Y15-19;True;female;F;True;False;78445;20916
168061;50671;Y20-24;True;female;O;True;False;168061;42517
92161;50671;Y20-24;False;female;NAP;False;False;92161;20035
230346;50671;Y20-24;True;female;N;True;False;230346;9144
229723;66023;Y20-24;True;female;I;True;False;229723;42517
109215;66023;Y20-24;True;female;N;False;True;109215;48212
109867;66023;Y20-24;True;female;S;True;False;109867;21159
149110;66023;Y20-24;False;female;NAP;True;False;149110;16583
179683;66023;Y20-24;False;female;N;False;True;179683;46839
167049;66023;Y20-24;True;female;G;False;True;167049;16698
109347;66094;Y20-24;False;female;N;True;False;109347;42517
229169;66094;Y20-24;False;female;F;False;True;229169;48212
230755;66094;Y20-24;True;female;O;True;False;230755;25449
282021;66903;Y20-24;True;female;R;True;False;282021;42517
110506;66903;Y20-24;False;female;G;True;True;110506;20847
142918;66903;Y20-24;True;female;O;True;False;142918;19994
174903;67332;Y20-24;False;female;Q;True;False;174903;42517
111000;67332;Y20-24;True;female;L;False;True;111000;40040
113630;69560;Y20-24;False;female;NAP;True;False;113630;42517
169690;69560;Y20-24;True;female;N;False;False;169690;37394
252204;73530;Y20-24;False;female;N;True;False;252204;42517
301523;73530;Y20-24;True;female;Q;True;True;301523;16717
133229;73530;Y20-24;False;female;O;False;False;133229;27328
118330;73530;Y20-24;False;female;NAP;True;False;118330;46624
319654;73530;Y20-24;True;female;T;True;True;319654;46298
259720;75915;Y20-24;True;female;G;True;False;259720;42517
121018;75915;Y20-24;True;female;I;False;True;121018;39197
286048;146963;Y20-24;True;female;J;True;False;286048;42517
248383;146963;Y20-24;True;female;P;False;False;248383;37394
365847;168135;Y20-24;False;female;NAP;True;False;365847;42517
301254;168135;Y20-24;True;female;O;False;False;301254;37394
314520;172873;Y20-24;False;female;S;True;False;314520;42517
1727316;172873;Y35-39;True;male;G;True;False;1727316;20819
405198;210429;Y25-29;True;female;I;True;False;405198;42517
408067;210429;Y25-29;False;female;NAP;False;False;408067;16552
1336261;210429;Y35-39;True;female;H;True;True;1336261;4805
1296155;210429;Y35-39;False;female;NAP;True;False;1296155;39772
435176;231632;Y25-29;True;female;G;True;False;435176;42517
432518;231632;Y25-29;False;female;M;True;False;432518;32464
1500592;231632;Y35-39;True;female;Q;False;True;1500592;37385
434759;233370;Y25-29;True;female;A;True;False;434759;42517
723784;248466;Y25-29;False;female;H;True;False;723784;42517
460349;248466;Y25-29;True;female;L;False;True;460349;22333
461558;249456;Y25-29;False;female;Q;True;False;461558;42517
770606;250470;Y25-29;False;female;O;True;False;770606;42517
462877;250470;Y25-29;False;female;I;False;False;462877;20035
666132;250470;Y25-29;True;female;I;True;False;666132;33398
473359;255374;Y25-29;False;female;G;True;False;473359;42517
722911;255374;Y25-29;False;female;NAP;False;True;722911;17321
488709;255374;Y25-29;False;female;P;True;False;488709;10687
722490;255374;Y25-29;False;female;NAP;False;True;722490;48930
476466;257338;Y25-29;False;female;NAP;True;False;476466;42517
1337926;257338;Y35-39;True;female;N;True;False;1337926;37073
1460306;257338;Y35-39;True;female;Q;False;True;1460306;6478
746426;257944;Y25-29;True;female;Q;True;False;746426;42517
693913;257944;Y25-29;True;female;S;True;False;693913;16248
477164;257944;Y25-29;False;female;A;False;True;477164;48930
556062;258015;Y25-29;False;female;NAP;True;False;556062;42517
741995;258015;Y25-29;False;female;A;True;False;741995;43879
479138;258015;Y25-29;True;female;N;False;True;479138;34595
477241;258015;Y25-29;False;female;C;False;True;477241;29265
477788;258015;Y25-29;True;female;G;False;True;477788;7073
629741;258015;Y25-29;True;female;Q;True;False;629741;19943
743729;258015;Y25-29;True;female;J;False;False;743729;32736
626292;258015;Y25-29;True;female;F;True;False;626292;34697
481823;261424;Y25-29;True;female;O;True;False;481823;42517
542257;261424;Y25-29;False;female;S;False;False;542257;20035
3743961;261424;Y_LT5;False;male;NAP;False;True;3743961;47821
522202;282298;Y25-29;True;female;I;True;False;522202;42517
1323867;282298;Y35-39;True;female;R;True;False;1323867;19726
526920;284389;Y25-29;True;female;U;True;False;526920;42517
1402653;284389;Y35-39;True;female;P;True;False;1402653;24369
553398;301377;Y25-29;True;female;H;True;False;553398;42517
742382;328894;Y25-29;False;female;G;True;False;742382;42517
611991;328894;Y25-29;True;female;H;True;False;611991;16650
715700;361890;Y25-29;False;female;N;True;False;715700;42517
2569854;361890;Y45-49;False;male;G;True;False;2569854;39520
769266;374862;Y25-29;False;female;NAP;True;False;769266;42517
2569855;374862;Y45-49;False;male;G;True;False;2569855;33451
3846;2507;Y15-19;False;female;NAP;False;False;3846;4294
3306662;2507;Y55-59;False;female;H;True;False;3306662;19816
14461;11504;Y15-19;False;female;NAP;False;False;14461;4294
14327;11504;Y15-19;False;female;NAP;True;False;14327;9144
19591;15500;Y15-19;True;female;G;False;False;19591;4294
83544;15500;Y15-19;False;female;NAP;False;False;83544;47538
3264726;15500;Y55-59;False;female;M;True;False;3264726;36341
46387;25484;Y15-19;True;female;R;False;False;46387;4294
34366;25484;Y15-19;False;female;NAP;False;False;34366;43890
85502;25484;Y15-19;True;female;C;True;False;85502;15426
55549;37322;Y15-19;False;female;NAP;False;False;55549;4294
3665740;37322;Y75-79;False;female;NAP;True;False;3665740;43015
3674141;37322;Y75-79;False;male;NAP;True;False;3674141;16610
3668961;37322;Y75-79;False;female;NAP;True;False;3668961;39056
102128;59920;Y20-24;False;female;NAP;False;False;102128;4294
330189;59920;Y20-24;False;female;NAP;True;True;330189;40213
111547;67768;Y20-24;True;female;O;False;False;111547;4294
143730;67768;Y20-24;True;female;S;True;True;143730;16717
141215;67768;Y20-24;True;female;M;True;False;141215;19994
175008;67768;Y20-24;True;female;R;True;False;175008;20916
170592;75119;Y20-24;True;female;P;False;False;170592;4294
119999;75119;Y20-24;True;female;F;False;False;119999;37450
185139;75119;Y20-24;False;female;NAP;False;True;185139;34595
